# Samples Generated by Stan
# stan_version_major=2
# stan_version_minor=6
# stan_version_patch=0
# init=user
# seed=42
# chain_id=1
# iter=300
# warmup=150
# save_warmup=1
# thin=1
# refresh=-1
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=sampfile1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,L_t.1,L_t.2,L_t.3,L_t.4,L_t.5,L_t.6,L_t.7,L_t.8,L_t.9,L_t.10,L_t.11,L_t.12,L_t.13,L_t.14,L_t.15,L_t.16,L_t.17,L_t.18,L_t.19,L_t.20,L_t.21,L_t.22,L_t.23,L_t.24,L_d.1,L_d.2,L_d.3,psi.1,psi.2,psi.3,psi.4,psi.5,psi.6,psi.7,psi.8,psi.9,psi.10,mu_psi,sigma_psi,mu_lt,sigma_lt,L.1.1,L.2.1,L.3.1,L.4.1,L.5.1,L.6.1,L.7.1,L.8.1,L.9.1,L.10.1,L.1.2,L.2.2,L.3.2,L.4.2,L.5.2,L.6.2,L.7.2,L.8.2,L.9.2,L.10.2,L.1.3,L.2.3,L.3.3,L.4.3,L.5.3,L.6.3,L.7.3,L.8.3,L.9.3,L.10.3,Q.1.1,Q.2.1,Q.3.1,Q.4.1,Q.5.1,Q.6.1,Q.7.1,Q.8.1,Q.9.1,Q.10.1,Q.1.2,Q.2.2,Q.3.2,Q.4.2,Q.5.2,Q.6.2,Q.7.2,Q.8.2,Q.9.2,Q.10.2,Q.1.3,Q.2.3,Q.3.3,Q.4.3,Q.5.3,Q.6.3,Q.7.3,Q.8.3,Q.9.3,Q.10.3,Q.1.4,Q.2.4,Q.3.4,Q.4.4,Q.5.4,Q.6.4,Q.7.4,Q.8.4,Q.9.4,Q.10.4,Q.1.5,Q.2.5,Q.3.5,Q.4.5,Q.5.5,Q.6.5,Q.7.5,Q.8.5,Q.9.5,Q.10.5,Q.1.6,Q.2.6,Q.3.6,Q.4.6,Q.5.6,Q.6.6,Q.7.6,Q.8.6,Q.9.6,Q.10.6,Q.1.7,Q.2.7,Q.3.7,Q.4.7,Q.5.7,Q.6.7,Q.7.7,Q.8.7,Q.9.7,Q.10.7,Q.1.8,Q.2.8,Q.3.8,Q.4.8,Q.5.8,Q.6.8,Q.7.8,Q.8.8,Q.9.8,Q.10.8,Q.1.9,Q.2.9,Q.3.9,Q.4.9,Q.5.9,Q.6.9,Q.7.9,Q.8.9,Q.9.9,Q.10.9,Q.1.10,Q.2.10,Q.3.10,Q.4.10,Q.5.10,Q.6.10,Q.7.10,Q.8.10,Q.9.10,Q.10.10
-3702.2,1,0.015625,1,1,0,-0.245529,-0.284331,-0.34545,0.1596,-0.363461,-0.161631,-0.038802,-0.251896,-0.253741,-0.273336,-0.150203,-0.102751,-0.0878953,-0.285713,-0.080634,-0.337397,-0.345744,-0.0275734,-0.13004,-0.033168,-0.0811247,-0.180985,-0.0812754,-0.0886451,0.416899,0.419692,0.41099,0.132772,0.126548,0.130122,0.13301,0.138915,0.134324,0.132337,0.137786,0.129393,0.127804,0.135525,0.224454,-0.0929602,0.529199,0.416899,-0.245529,-0.284331,-0.34545,0.1596,-0.363461,-0.161631,-0.038802,-0.251896,-0.253741,0,0.419692,-0.273336,-0.150203,-0.102751,-0.0878953,-0.285713,-0.080634,-0.337397,-0.345744,0,0,0.41099,-0.0275734,-0.13004,-0.033168,-0.0811247,-0.180985,-0.0812754,-0.0886451,0.306577,-0.102361,-0.118537,-0.144018,0.0665371,-0.151527,-0.0673837,-0.0161765,-0.105015,-0.105785,-0.102361,0.362974,-0.0449056,0.0217789,-0.0823103,0.0523513,-0.0802266,-0.0243145,-0.079755,-0.082805,-0.118537,-0.0449056,0.454592,0.127946,-0.0707388,0.113736,0.0907109,-0.0413104,0.130441,0.130218,-0.144018,0.0217789,0.127946,0.275668,-0.0361146,0.139674,0.100987,0.030506,0.139937,0.142031,0.0665371,-0.0823103,-0.0707388,-0.0361146,0.191856,-0.0446638,0.0141106,0.0256278,0.00503434,0.00655585,-0.151527,0.0523513,0.113736,0.139674,-0.0446638,0.275253,0.0865501,0.0271933,0.123906,0.125555,-0.0673837,-0.0802266,0.0907109,0.100987,0.0141106,0.0865501,0.246675,0.0439922,0.143706,0.146987,-0.0161765,-0.0243145,-0.0413104,0.030506,0.0256278,0.0271933,0.0439922,0.178549,0.0516894,0.0537678,-0.105015,-0.079755,0.130441,0.139937,0.00503434,0.123906,0.143706,0.0516894,0.313288,0.187774,-0.105785,-0.082805,0.130218,0.142031,0.00655585,0.125555,0.146987,0.0537678,0.187774,0.319586
-3702.2,0,14.3855,1,1,1,-0.245529,-0.284331,-0.34545,0.1596,-0.363461,-0.161631,-0.038802,-0.251896,-0.253741,-0.273336,-0.150203,-0.102751,-0.0878953,-0.285713,-0.080634,-0.337397,-0.345744,-0.0275734,-0.13004,-0.033168,-0.0811247,-0.180985,-0.0812754,-0.0886451,0.416899,0.419692,0.41099,0.132772,0.126548,0.130122,0.13301,0.138915,0.134324,0.132337,0.137786,0.129393,0.127804,0.135525,0.224454,-0.0929602,0.529199,0.416899,-0.245529,-0.284331,-0.34545,0.1596,-0.363461,-0.161631,-0.038802,-0.251896,-0.253741,0,0.419692,-0.273336,-0.150203,-0.102751,-0.0878953,-0.285713,-0.080634,-0.337397,-0.345744,0,0,0.41099,-0.0275734,-0.13004,-0.033168,-0.0811247,-0.180985,-0.0812754,-0.0886451,0.306577,-0.102361,-0.118537,-0.144018,0.0665371,-0.151527,-0.0673837,-0.0161765,-0.105015,-0.105785,-0.102361,0.362974,-0.0449056,0.0217789,-0.0823103,0.0523513,-0.0802266,-0.0243145,-0.079755,-0.082805,-0.118537,-0.0449056,0.454592,0.127946,-0.0707388,0.113736,0.0907109,-0.0413104,0.130441,0.130218,-0.144018,0.0217789,0.127946,0.275668,-0.0361146,0.139674,0.100987,0.030506,0.139937,0.142031,0.0665371,-0.0823103,-0.0707388,-0.0361146,0.191856,-0.0446638,0.0141106,0.0256278,0.00503434,0.00655585,-0.151527,0.0523513,0.113736,0.139674,-0.0446638,0.275253,0.0865501,0.0271933,0.123906,0.125555,-0.0673837,-0.0802266,0.0907109,0.100987,0.0141106,0.0865501,0.246675,0.0439922,0.143706,0.146987,-0.0161765,-0.0243145,-0.0413104,0.030506,0.0256278,0.0271933,0.0439922,0.178549,0.0516894,0.0537678,-0.105015,-0.079755,0.130441,0.139937,0.00503434,0.123906,0.143706,0.0516894,0.313288,0.187774,-0.105785,-0.082805,0.130218,0.142031,0.00655585,0.125555,0.146987,0.0537678,0.187774,0.319586
-3702.2,0,2.43117,1,1,1,-0.245529,-0.284331,-0.34545,0.1596,-0.363461,-0.161631,-0.038802,-0.251896,-0.253741,-0.273336,-0.150203,-0.102751,-0.0878953,-0.285713,-0.080634,-0.337397,-0.345744,-0.0275734,-0.13004,-0.033168,-0.0811247,-0.180985,-0.0812754,-0.0886451,0.416899,0.419692,0.41099,0.132772,0.126548,0.130122,0.13301,0.138915,0.134324,0.132337,0.137786,0.129393,0.127804,0.135525,0.224454,-0.0929602,0.529199,0.416899,-0.245529,-0.284331,-0.34545,0.1596,-0.363461,-0.161631,-0.038802,-0.251896,-0.253741,0,0.419692,-0.273336,-0.150203,-0.102751,-0.0878953,-0.285713,-0.080634,-0.337397,-0.345744,0,0,0.41099,-0.0275734,-0.13004,-0.033168,-0.0811247,-0.180985,-0.0812754,-0.0886451,0.306577,-0.102361,-0.118537,-0.144018,0.0665371,-0.151527,-0.0673837,-0.0161765,-0.105015,-0.105785,-0.102361,0.362974,-0.0449056,0.0217789,-0.0823103,0.0523513,-0.0802266,-0.0243145,-0.079755,-0.082805,-0.118537,-0.0449056,0.454592,0.127946,-0.0707388,0.113736,0.0907109,-0.0413104,0.130441,0.130218,-0.144018,0.0217789,0.127946,0.275668,-0.0361146,0.139674,0.100987,0.030506,0.139937,0.142031,0.0665371,-0.0823103,-0.0707388,-0.0361146,0.191856,-0.0446638,0.0141106,0.0256278,0.00503434,0.00655585,-0.151527,0.0523513,0.113736,0.139674,-0.0446638,0.275253,0.0865501,0.0271933,0.123906,0.125555,-0.0673837,-0.0802266,0.0907109,0.100987,0.0141106,0.0865501,0.246675,0.0439922,0.143706,0.146987,-0.0161765,-0.0243145,-0.0413104,0.030506,0.0256278,0.0271933,0.0439922,0.178549,0.0516894,0.0537678,-0.105015,-0.079755,0.130441,0.139937,0.00503434,0.123906,0.143706,0.0516894,0.313288,0.187774,-0.105785,-0.082805,0.130218,0.142031,0.00655585,0.125555,0.146987,0.0537678,0.187774,0.319586
-3702.2,0,0.239791,1,1,1,-0.245529,-0.284331,-0.34545,0.1596,-0.363461,-0.161631,-0.038802,-0.251896,-0.253741,-0.273336,-0.150203,-0.102751,-0.0878953,-0.285713,-0.080634,-0.337397,-0.345744,-0.0275734,-0.13004,-0.033168,-0.0811247,-0.180985,-0.0812754,-0.0886451,0.416899,0.419692,0.41099,0.132772,0.126548,0.130122,0.13301,0.138915,0.134324,0.132337,0.137786,0.129393,0.127804,0.135525,0.224454,-0.0929602,0.529199,0.416899,-0.245529,-0.284331,-0.34545,0.1596,-0.363461,-0.161631,-0.038802,-0.251896,-0.253741,0,0.419692,-0.273336,-0.150203,-0.102751,-0.0878953,-0.285713,-0.080634,-0.337397,-0.345744,0,0,0.41099,-0.0275734,-0.13004,-0.033168,-0.0811247,-0.180985,-0.0812754,-0.0886451,0.306577,-0.102361,-0.118537,-0.144018,0.0665371,-0.151527,-0.0673837,-0.0161765,-0.105015,-0.105785,-0.102361,0.362974,-0.0449056,0.0217789,-0.0823103,0.0523513,-0.0802266,-0.0243145,-0.079755,-0.082805,-0.118537,-0.0449056,0.454592,0.127946,-0.0707388,0.113736,0.0907109,-0.0413104,0.130441,0.130218,-0.144018,0.0217789,0.127946,0.275668,-0.0361146,0.139674,0.100987,0.030506,0.139937,0.142031,0.0665371,-0.0823103,-0.0707388,-0.0361146,0.191856,-0.0446638,0.0141106,0.0256278,0.00503434,0.00655585,-0.151527,0.0523513,0.113736,0.139674,-0.0446638,0.275253,0.0865501,0.0271933,0.123906,0.125555,-0.0673837,-0.0802266,0.0907109,0.100987,0.0141106,0.0865501,0.246675,0.0439922,0.143706,0.146987,-0.0161765,-0.0243145,-0.0413104,0.030506,0.0256278,0.0271933,0.0439922,0.178549,0.0516894,0.0537678,-0.105015,-0.079755,0.130441,0.139937,0.00503434,0.123906,0.143706,0.0516894,0.313288,0.187774,-0.105785,-0.082805,0.130218,0.142031,0.00655585,0.125555,0.146987,0.0537678,0.187774,0.319586
-1444.57,1,0.0186273,4,15,0,-1.68008,-1.43847,-1.56504,0.659692,-1.77084,-0.484499,-0.331284,-0.275306,-0.254394,-1.3133,-0.959954,-0.689785,-0.870529,-1.4252,-0.0437318,-1.57823,-1.49056,0.726184,1.24528,0.726943,1.3308,-2.5809,0.353566,0.39778,0.205067,0.252242,0.241037,5.9795,0.762988,0.208706,0.313621,2.11214,0.222454,0.30917,1.9072,0.335424,0.477009,0.0899274,0.258546,0.0676211,0.60265,0.205067,-1.68008,-1.43847,-1.56504,0.659692,-1.77084,-0.484499,-0.331284,-0.275306,-0.254394,0,0.252242,-1.3133,-0.959954,-0.689785,-0.870529,-1.4252,-0.0437318,-1.57823,-1.49056,0,0,0.241037,0.726184,1.24528,0.726943,1.3308,-2.5809,0.353566,0.39778,6.02155,-0.34453,-0.294983,-0.320939,0.135281,-0.36314,-0.0993547,-0.0679355,-0.0564562,-0.0521678,-0.34453,3.64929,2.08548,2.38726,-1.28233,2.75557,0.454503,0.545555,0.0644426,0.0514225,-0.294983,2.08548,4.06076,3.68701,0.257104,3.86578,2.88942,-0.0881151,2.55392,2.41936,-0.320939,2.38726,3.68701,4.21184,0.534016,4.135,3.09279,-1.31375,2.20264,2.11786,0.135281,-1.28233,0.257104,0.534016,4.57385,0.337517,2.32067,-3.40232,1.34731,1.35569,-0.36314,2.75557,3.86578,4.135,0.337517,4.64459,3.06606,-1.25144,2.11843,2.03723,-0.0993547,0.454503,2.88942,3.09279,2.32067,3.06606,4.34612,-3.21181,2.8532,2.77696,-0.0679355,0.545555,-0.0881151,-1.31375,-3.40232,-1.25144,-3.21181,8.67988,-0.752293,-0.877167,-0.0564562,0.0644426,2.55392,2.20264,1.34731,2.11843,2.8532,-0.752293,3.02702,2.56311,-0.0521678,0.0514225,2.41936,2.11786,1.35569,2.03723,2.77696,-0.877167,2.56311,2.92171
-1228.11,1,0.0257257,3,7,0,-1.72185,-1.12224,-1.29471,0.661675,-1.49206,-0.491555,-0.466212,-0.411298,-0.35842,-1.25662,-1.05525,-0.685357,-1.02428,-1.48324,0.139301,-1.36729,-1.28727,0.376255,1.15399,0.623753,1.03102,-2.39679,0.377768,0.219939,0.21876,0.203495,0.311885,3.58982,0.458277,0.185053,0.312394,1.41488,0.221447,0.285607,1.5417,0.279845,0.346043,0.0934421,0.260428,-0.0870455,0.690852,0.21876,-1.72185,-1.12224,-1.29471,0.661675,-1.49206,-0.491555,-0.466212,-0.411298,-0.35842,0,0.203495,-1.25662,-1.05525,-0.685357,-1.02428,-1.48324,0.139301,-1.36729,-1.28727,0,0,0.311885,0.376255,1.15399,0.623753,1.03102,-2.39679,0.377768,0.219939,3.63767,-0.376672,-0.245502,-0.28323,0.144748,-0.326402,-0.107532,-0.101989,-0.0899754,-0.0784079,-0.376672,3.46446,1.67662,2.01455,-1.27877,2.36066,0.544552,0.831095,0.429958,0.355192,-0.245502,1.67662,3.12084,2.89637,0.478583,3.15611,2.73707,-0.39937,2.29755,2.08844,-0.28323,2.01455,2.89637,3.24379,0.300743,3.24734,2.58954,-0.445196,2.11748,1.9052,0.144748,-1.27877,0.478583,0.300743,3.65409,0.434541,1.88108,-3.16982,1.10087,0.898891,-0.326402,2.36066,3.15611,3.24734,0.434541,3.88589,2.89578,-0.942076,2.24979,1.99049,-0.107532,0.544552,2.73707,2.58954,1.88108,2.89578,3.79023,-2.44858,2.61968,2.31228,-0.101989,0.831095,-0.39937,-0.445196,-3.16982,-0.942076,-2.44858,7.52308,-0.904145,-0.539367,-0.0899754,0.429958,2.29755,2.11748,1.10087,2.24979,2.61968,-0.904145,2.4612,1.99058,-0.0784079,0.355192,2.08844,1.9052,0.898891,1.99049,2.31228,-0.539367,1.99058,2.17995
-1025.96,1,0.0404064,3,7,0,-1.19471,-0.963244,-1.22922,0.570018,-1.30338,-0.528988,-0.516029,-0.191473,-0.296686,-1.10265,-0.987364,-0.636213,-0.921348,-1.13182,0.408134,-1.21098,-1.10263,0.341285,1.08475,0.467869,0.869901,-1.91401,0.3722,0.304492,0.18258,0.242317,0.49141,1.96171,0.335079,0.202324,0.248203,1.00526,0.190845,0.261732,1.26671,0.273675,0.358766,0.0852948,0.281773,-0.132905,0.62711,0.18258,-1.19471,-0.963244,-1.22922,0.570018,-1.30338,-0.528988,-0.516029,-0.191473,-0.296686,0,0.242317,-1.10265,-0.987364,-0.636213,-0.921348,-1.13182,0.408134,-1.21098,-1.10263,0,0,0.49141,0.341285,1.08475,0.467869,0.869901,-1.91401,0.3722,0.304492,1.99505,-0.21813,-0.175869,-0.224431,0.104074,-0.237971,-0.0965828,-0.0942167,-0.0349592,-0.054169,-0.21813,1.82112,0.883603,1.2293,-0.835169,1.33389,0.357726,0.715401,-0.0646873,0.0872663,-0.175869,0.883603,2.58749,2.44047,0.685512,2.50131,2.18503,-0.893534,1.70263,1.65123,-0.224431,1.2293,2.44047,2.85054,0.297707,2.67152,2.06465,-0.42189,1.55807,1.55731,0.104074,-0.835169,0.685512,0.297707,2.91163,0.350745,1.36217,-2.63003,1.06504,0.862689,-0.237971,1.33389,2.50131,2.67152,0.350745,2.95742,2.13927,-0.59896,1.53944,1.54506,-0.0965828,0.357726,2.18503,2.06465,1.36217,2.13927,2.57931,-1.85397,1.79568,1.66981,-0.0942167,0.715401,-0.893534,-0.42189,-2.63003,-0.59896,-1.85397,5.36301,-1.10783,-0.879724,-0.0349592,-0.0646873,1.70263,1.55807,1.06504,1.53944,1.79568,-1.10783,1.91535,1.50541,-0.054169,0.0872663,1.65123,1.55731,0.862689,1.54506,1.66981,-0.879724,1.50541,1.7553
-1025.96,0.0350291,0.0687243,1,1,0,-1.19471,-0.963244,-1.22922,0.570018,-1.30338,-0.528988,-0.516029,-0.191473,-0.296686,-1.10265,-0.987364,-0.636213,-0.921348,-1.13182,0.408134,-1.21098,-1.10263,0.341285,1.08475,0.467869,0.869901,-1.91401,0.3722,0.304492,0.18258,0.242317,0.49141,1.96171,0.335079,0.202324,0.248203,1.00526,0.190845,0.261732,1.26671,0.273675,0.358766,0.0852948,0.281773,-0.132905,0.62711,0.18258,-1.19471,-0.963244,-1.22922,0.570018,-1.30338,-0.528988,-0.516029,-0.191473,-0.296686,0,0.242317,-1.10265,-0.987364,-0.636213,-0.921348,-1.13182,0.408134,-1.21098,-1.10263,0,0,0.49141,0.341285,1.08475,0.467869,0.869901,-1.91401,0.3722,0.304492,1.99505,-0.21813,-0.175869,-0.224431,0.104074,-0.237971,-0.0965828,-0.0942167,-0.0349592,-0.054169,-0.21813,1.82112,0.883603,1.2293,-0.835169,1.33389,0.357726,0.715401,-0.0646873,0.0872663,-0.175869,0.883603,2.58749,2.44047,0.685512,2.50131,2.18503,-0.893534,1.70263,1.65123,-0.224431,1.2293,2.44047,2.85054,0.297707,2.67152,2.06465,-0.42189,1.55807,1.55731,0.104074,-0.835169,0.685512,0.297707,2.91163,0.350745,1.36217,-2.63003,1.06504,0.862689,-0.237971,1.33389,2.50131,2.67152,0.350745,2.95742,2.13927,-0.59896,1.53944,1.54506,-0.0965828,0.357726,2.18503,2.06465,1.36217,2.13927,2.57931,-1.85397,1.79568,1.66981,-0.0942167,0.715401,-0.893534,-0.42189,-2.63003,-0.59896,-1.85397,5.36301,-1.10783,-0.879724,-0.0349592,-0.0646873,1.70263,1.55807,1.06504,1.53944,1.79568,-1.10783,1.91535,1.50541,-0.054169,0.0872663,1.65123,1.55731,0.862689,1.54506,1.66981,-0.879724,1.50541,1.7553
-941.555,0.998558,0.00591774,5,31,0,-1.04763,-0.904032,-1.02557,0.365997,-1.24569,-0.461134,-0.44559,-0.309747,-0.282226,-1.0334,-0.765048,-0.493524,-0.762909,-1.15449,0.449767,-1.10886,-1.00135,0.220461,0.984901,0.27165,0.772067,-1.7238,0.302146,0.351227,0.17685,0.27,0.490615,1.57321,0.295139,0.175514,0.242046,0.930069,0.180071,0.276399,1.27005,0.280997,0.33512,0.0737866,0.265902,-0.243684,0.586002,0.17685,-1.04763,-0.904032,-1.02557,0.365997,-1.24569,-0.461134,-0.44559,-0.309747,-0.282226,0,0.27,-1.0334,-0.765048,-0.493524,-0.762909,-1.15449,0.449767,-1.10886,-1.00135,0,0,0.490615,0.220461,0.984901,0.27165,0.772067,-1.7238,0.302146,0.351227,1.60449,-0.185274,-0.159878,-0.181372,0.0647266,-0.220301,-0.0815516,-0.0788027,-0.0547789,-0.0499118,-0.185274,1.46557,0.668076,0.867857,-0.516682,1.09904,0.171385,0.588251,0.025108,0.0253043,-0.159878,0.668076,2.3014,1.82591,0.66234,2.04781,1.98872,-0.907682,1.57415,1.46225,-0.181372,0.867857,1.82591,1.92774,0.219347,1.92109,1.52638,-0.267142,1.23261,1.13296,0.0647266,-0.516682,0.66234,0.219347,2.27762,0.188144,1.16141,-2.08283,0.731469,0.736821,-0.220301,1.09904,2.04781,1.92109,0.188144,2.38764,1.66494,-0.256336,1.31389,1.21092,-0.0815516,0.171385,1.98872,1.52638,1.16141,1.66494,2.41799,-1.64467,1.65629,1.55737,-0.0788027,0.588251,-0.907682,-0.267142,-2.08283,-0.256336,-1.64467,4.64239,-0.88155,-0.930064,-0.0547789,0.025108,1.57415,1.23261,0.731469,1.31389,1.65629,-0.88155,1.69781,1.3039,-0.0499118,0.0253043,1.46225,1.13296,0.736821,1.21092,1.55737,-0.930064,1.3039,1.54084
-914.703,0.998486,0.0106871,4,15,0,-1.00905,-0.827609,-0.981489,0.311297,-1.10987,-0.438631,-0.493085,-0.323965,-0.205861,-1.02367,-0.76294,-0.540519,-0.663248,-1.02908,0.372556,-1.07058,-1.01153,0.251465,1.01062,0.262603,0.687034,-1.65889,0.280946,0.334295,0.185091,0.281561,0.500728,1.34633,0.280607,0.180626,0.243166,0.802952,0.184687,0.281118,1.26583,0.27514,0.345931,0.0704177,0.242762,-0.210292,0.576584,0.185091,-1.00905,-0.827609,-0.981489,0.311297,-1.10987,-0.438631,-0.493085,-0.323965,-0.205861,0,0.281561,-1.02367,-0.76294,-0.540519,-0.663248,-1.02908,0.372556,-1.07058,-1.01153,0,0,0.500728,0.251465,1.01062,0.262603,0.687034,-1.65889,0.280946,0.334295,1.38058,-0.186766,-0.153183,-0.181665,0.0576184,-0.205428,-0.0811868,-0.0912658,-0.0599632,-0.0381031,-0.186766,1.37806,0.546871,0.775554,-0.466302,0.933168,0.152852,0.602443,0.0254628,-0.0770848,-0.153183,0.546871,2.16419,1.7192,0.801728,1.72898,1.76047,-0.803947,1.50472,1.37324,-0.181665,0.775554,1.7192,1.8518,0.360984,1.66138,1.3884,-0.217433,1.20541,1.05785,0.0576184,-0.466302,0.801728,0.360984,2.21338,0.278391,1.11402,-2.03139,0.76175,0.820516,-0.205428,0.933168,1.72898,1.66138,0.278391,1.92536,1.34977,-0.135467,1.1434,0.987165,-0.0811868,0.152852,1.76047,1.3884,1.11402,1.34977,2.00453,-1.30682,1.43683,1.36092,-0.0912658,0.602443,-0.803947,-0.217433,-2.03139,-0.135467,-1.30682,4.39968,-0.705168,-0.829907,-0.0599632,0.0254628,1.50472,1.20541,0.76175,1.1434,1.43683,-0.705168,1.60517,1.24354,-0.0381031,-0.0770848,1.37324,1.05785,0.820516,0.987165,1.36092,-0.829907,1.24354,1.52327
